,city,cases
253,CAJAMARCA,331
254,ZONA BANANERA,329
255,PAILITAS,327
256,TAURAMENA,323
257,CAICEDONIA,318
258,TIMBIO,315
259,TENJO,315
260,TOLU,312
261,ANDES,307
262,HATONUEVO,305
263,CAQUEZA,305
264,RICAURTE,301
265,PONEDERA,298
266,USIACURI,297
267,GINEBRA,292
268,DISTRACCION,292
269,SANDONA,291
270,PACHO,290
271,GACHANCIPA,289
272,TARAZA,289
273,COMBITA,288
274,CUMBAL,287
275,BELEN DE UMBRIA,286
276,REPELON,280
277,ARACATACA,278
278,SAN VICENTE DE CHUCURI,277
279,MARQUETALIA,277
280,DABEIBA,275
281,LURUACO,275
282,SAN CARLOS,271
283,SAN PELAYO,269
284,BUGALAGRANDE,266
285,SIBUNDOY,266
286,BECERRIL,265
287,SALENTO,263
288,LA MESA,263
289,PUEBLOVIEJO,261
290,EL PAUJIL,259
291,AIPE,256
292,ENTRERRIOS,255
293,SAN JUAN NEPOMUCENO,253
294,VELEZ,249
295,SILVIA,249
296,PAZ DE ARIPORO,249
297,SAN LUIS,247
298,NEIRA,247
299,SAN DIEGO,244
300,LA GLORIA,244
301,SALAMINA,244
302,PUERTO LIBERTADOR,243
303,SONSON,242
304,URUMITA,241
305,ARBOLETES,237
306,PATIA (EL BORDO),235
307,GUAMAL,235
308,YONDO (CASABE),234
309,SANTA ANA,233
310,MANI,232
311,SOPETRAN,231
312,PUERTO TRIUNFO,229
313,CUMARAL,228
314,MIRANDA,228
315,COYAIMA,226
316,SANTA BARBARA,226
317,SAN ONOFRE,226
318,PUERTO NARE (LA MAGDALENA ),225
319,SAN JOSE DEL FRAGUA,225
320,RIOBLANCO,221
321,ANAPOIMA,221
322,CASTILLA LA NUEVA,220
323,CANALETE,218
324,TIMANA,217
325,SARDINATA,214
326,MAGUI (PAYAN),212
327,OBANDO,212
328,TANGUA,209
329,PURIFICACION,208
330,PALESTINA,207
331,VILLARICA,203
332,ANDALUCIA,203
333,SAN VICENTE,202
334,CAMPO DE LA CRUZ,200
335,MONTERREY,200
336,CHIPAQUE,200
337,RIO DE ORO,198
338,SAN ANDRES SOTAVENTO,198
339,ALCALA,198
340,COTORRA,198
341,ARGELIA,197
342,PUERTO SALGAR,197
343,SILVANIA,195
344,DARIEN,195
345,ITSMINA,193
346,PUPIALES,192
347,BELEN DE LOS ANDAQUIES,191
348,BUESACO,190
349,LOS PALMITOS,190
350,NEMOCON,189
351,SANTA ROSA,189
352,LA MONTANITA,188
353,FILANDIA,187
354,SUESCA,185
355,PUERTO WILCHES,185
356,MANZANARES,185
357,EL CHARCO,184
358,SALGAR,184
359,JARDIN,183
360,VITERBO,182
361,SAN PEDRO DE URABA,180
362,SUCRE,180
363,VIJES,179
364,MANAURE,179
365,CHIMICHAGUA,177
366,CUMARIBO,176
367,ZARAGOZA,176
368,QUINCHIA,176
369,YOLOMBO,176
370,DIBULLA,175
371,SAN JACINTO,175
372,ASTREA,175
373,GUATEQUE,174
374,MORROA,172
375,TOLUVIEJO,172
376,VILLA DE LEYVA,172
377,GUADALUPE,172
378,PUERTO GUZMAN,172
379,MOÑITOS,171
380,SANTA LUCIA,171
381,SUAN,170
382,PELAYA,170
383,CACERES,168
384,TARQUI,167
385,PEÑOL,164
386,NECHI,163
387,SITIO NUEVO,163
388,PUEBLO BELLO,162
389,SAN MIGUEL (LA DORADA),161
390,PEQUE,158
391,PIJAO,158
392,PUERTO LEGUIZAMO,157
393,PACORA,157
394,BOJACA,157
395,TAUSA,156
396,FREDONIA,156
397,VALENCIA,155
398,EL COLEGIO,152
399,SAN JERONIMO,152
400,CICUCO,152
401,GIRALDO,152
402,YOTOCO,151
403,NATAGAIMA,151
404,SAN ROQUE,151
405,MUZO,150
406,COLON (GENOVA),149
407,CHOCONTA,148
408,CALAMAR,147
409,CHINACOTA,146
