day,Colombia,Italy,Spain,Peru,Ecuador,Argentina,Chile,Venezuela,Brazil,Mexico
1,2.0,1,1,3.0,2.0,1,1.0,1.0,1.0,1.0
2,3.0,2,2,5.0,2.0,1,2.0,2.0,3.0,2.0
3,3.0,3,3,5.0,2.0,1,2.0,2.0,6.0,2.0
4,4.0,7,5,5.0,2.0,1,3.0,3.0,11.0,3.0
5,6.0,10,10,7.0,2.0,1,4.0,3.0,15.0,4.0
6,6.0,12,17,9.0,3.0,2,5.0,3.0,25.0,5.0
7,6.0,17,28,9.0,5.0,2,6.0,5.0,34.0,6.0
8,10.0,21,35,11.0,7.0,2,7.0,7.0,46.0,8.0
9,12.0,29,54,16.0,14.0,2,8.0,7.0,59.0,12.0
10,16.0,34,55,18.0,18.0,2,12.0,7.0,77.0,16.0
11,17.0,52,133,24.0,27.0,2,16.0,7.0,92.0,20.0
12,19.0,79,195,30.0,28.0,3,18.0,7.0,111.0,28.0
13,25.0,107,289,38.0,34.0,3,22.0,9.0,136.0,29.0
14,32.0,148,342,55.0,36.0,4,27.0,9.0,159.0,37.0
15,35.0,197,533,61.0,48.0,4,34.0,9.0,201.0,50.0
16,46.0,233,623,73.0,58.0,4,37.0,9.0,240.0,60.0
17,50.0,366,830,83.0,60.0,6,43.0,9.0,324.0,79.0
18,54.0,463,1043,92.0,75.0,8,48.0,9.0,359.0,94.0
19,69.0,631,1375,107.0,93.0,9,57.0,9.0,445.0,125.0
20,80.0,827,1772,121.0,120.0,13,65.0,9.0,486.0,141.0
21,100.0,1016,2311,138.0,145.0,18,73.0,9.0,564.0,174.0
22,109.0,1266,2808,169.0,172.0,19,80.0,9.0,686.0,194.0
23,112.0,1441,3647,181.0,180.0,23,82.0,9.0,819.0,233.0
24,127.0,1809,4365,193.0,191.0,27,92.0,9.0,950.0,273.0
25,131.0,2158,5138,216.0,191.0,28,94.0,9.0,1057.0,296.0
26,144.0,2503,5982,230.0,242.0,36,105.0,10.0,1124.0,332.0
27,153.0,2978,6803,254.0,272.0,39,116.0,10.0,1223.0,406.0
28,166.0,3405,7716,274.0,297.0,43,126.0,10.0,1328.0,449.0
29,179.0,4032,8464,300.0,315.0,44,133.0,10.0,1532.0,486.0
30,189.0,4825,9387,348.0,333.0,48,139.0,10.0,1736.0,546.0
31,196.0,5476,10348,400.0,355.0,56,147.0,10.0,1924.0,650.0
32,206.0,6077,11198,445.0,369.0,63,160.0,10.0,2141.0,686.0
33,215.0,6820,11947,484.0,388.0,72,168.0,10.0,2354.0,712.0
34,225.0,7503,12641,530.0,403.0,82,174.0,10.0,2462.0,857.0
35,233.0,8215,13341,572.0,421.0,83,181.0,16.0,2587.0,970.0
36,244.0,9134,14045,634.0,456.0,90,189.0,10.0,2741.0,1069.0
37,253.0,10023,14792,700.0,474.0,97,198.0,10.0,2906.0,1221.0
38,269.0,10779,15447,728.0,507.0,102,207.0,10.0,3331.0,1305.0
39,278.0,11591,16081,782.0,520.0,111,216.0,10.0,3704.0,1351.0
40,293.0,12428,16606,854.0,537.0,115,227.0,10.0,4057.0,1434.0
41,314.0,13155,17209,943.0,560.0,123,234.0,10.0,4286.0,1569.0
42,324.0,13915,17756,1051.0,576.0,129,247.0,10.0,4603.0,1732.0
43,340.0,14681,18056,1124.0,576.0,132,260.0,10.0,5083.0,1859.0
44,358.0,15362,18708,1200.0,576.0,136,270.0,10.0,5513.0,1972.0
45,378.0,15887,19315,1286.0,663.0,147,275.0,10.0,6006.0,2061.0
46,397.0,16523,20002,1344.0,871.0,152,281.0,10.0,6412.0,2154.0
47,407.0,17127,20043,1444.0,883.0,165,285.0,10.0,6761.0,2271.0
48,428.0,17669,20453,1533.0,900.0,176,294.0,10.0,7051.0,2507.0
49,445.0,18279,20852,1627.0,1063.0,185,304.0,10.0,7367.0,2704.0
50,463.0,18849,21282,1714.0,1371.0,192,312.0,10.0,7938.0,2961.0
51,479.0,19468,21717,1814.0,1564.0,197,323.0,10.0,8588.0,3160.0
52,493.0,19899,22157,1889.0,1569.0,207,335.0,10.0,9190.0,3353.0
53,509.0,20465,22524,1961.0,1569.0,214,346.0,10.0,10017.0,3465.0
54,525.0,21067,22902,2057.0,1618.0,218,368.0,10.0,10656.0,3573.0
55,546.0,21645,23190,2169.0,1654.0,225,394.0,10.0,11123.0,3926.0
56,562.0,22170,23521,2267.0,1704.0,237,421.0,10.0,11653.0,4220.0
57,574.0,22745,23822,2392.0,1717.0,246,450.0,10.0,12461.0,4477.0
58,592.0,23227,24275,2523.0,2127.0,260,478.0,10.0,13240.0,4767.0
59,613.0,23660,24543,2648.0,2145.0,264,509.0,10.0,13999.0,5045.0
60,630.0,24114,24543,2789.0,2327.0,273,544.0,10.0,14962.0,5177.0
61,652.0,24648,25100,2914.0,2334.0,282,589.0,11.0,15662.0,5332.0
62,682.0,25085,25264,3024.0,2338.0,293,630.0,11.0,16118.0,5666.0
63,705.0,25549,25428,3148.0,2594.0,300,673.0,11.0,16853.0,6090.0
64,727.0,25969,25613,3244.0,2688.0,305,718.0,14.0,17983.0,6510.0
65,750.0,26384,25857,3373.0,2736.0,314,761.0,14.0,18859.0,6989.0
66,776.0,26644,26070,3456.0,2799.0,319,806.0,14.0,20047.0,7179.0
67,803.0,26977,26299,3629.0,2839.0,329,841.0,17.0,21048.0,7394.0
68,822.0,27359,26478,3788.0,2888.0,353,890.0,18.0,22013.0,7633.0
69,853.0,27682,26621,3983.0,2939.0,356,944.0,20.0,22666.0,8134.0
70,890.0,27967,26744,4099.0,3056.0,363,997.0,20.0,23473.0,8597.0
71,939.0,28236,26920,4230.0,3096.0,373,1054.0,20.0,24512.0,9044.0
72,969.0,28710,27104,4371.0,3108.0,382,1113.0,22.0,25598.0,9415.0
73,1009.0,28884,27321,4506.0,3203.0,393,1188.0,22.0,26754.0,9779.0
74,1045.0,29079,27459,4634.0,3203.0,403,1275.0,22.0,27878.0,9930.0
75,1087.0,29315,27563,4767.0,3275.0,416,1356.0,23.0,28834.0,10167.0
76,1145.0,29684,27563,4894.0,3313.0,433,1448.0,23.0,29314.0,10637.0
77,1205.0,29958,27709,5031.0,3334.0,445,1541.0,23.0,29937.0,11729.0
78,1259.0,30201,27778,5162.0,3334.0,452,1637.0,23.0,31199.0,12545.0
79,1308.0,30395,27888,5301.0,3358.0,467,2264.0,24.0,32548.0,13170.0
80,1372.0,30560,27940,5465.0,3358.0,484,2283.0,25.0,34021.0,13511.0
81,1433.0,30739,28628,5571.0,3438.0,500,2475.0,26.0,35026.0,13699.0
82,1488.0,30911,28678,5738.0,3486.0,508,2648.0,27.0,35930.0,14053.0
83,1545.0,31106,28752,5903.0,3486.0,520,2870.0,28.0,36455.0,14649.0
84,1592.0,31368,26834,6088.0,3534.0,528,3101.0,28.0,37134.0,15357.0
85,1667.0,31610,27117,6088.0,3608.0,539,3323.0,30.0,38406.0,15944.0
86,1726.0,31763,27117,6308.0,3621.0,556,3362.0,33.0,39680.0,16448.0
87,1801.0,31908,27119,6688.0,3642.0,569,3383.0,33.0,40919.0,16872.0
88,1864.0,32007,27121,6860.0,3690.0,583,3615.0,35.0,41828.0,17141.0
89,1950.0,32169,27125,7056.0,3720.0,608,3841.0,35.0,42720.0,17580.0
90,2045.0,32330,27127,7257.0,3720.0,632,4093.0,38.0,43332.0,18310.0
91,2126.0,32486,27127,7461.0,3828.0,648,4295.0,39.0,43959.0,19080.0
92,2237.0,32616,27127,7660.0,3874.0,664,4479.0,41.0,45241.0,19747.0
93,2310.0,32735,27128,7861.0,3896.0,693,4502.0,42.0,46510.0,20394.0
94,2404.0,32785,27133,8045.0,3929.0,717,4505.0,44.0,47748.0,20781.0
95,2491.0,32877,27134,8223.0,3970.0,735,4731.0,48.0,48954.0,21825.0
96,2654.0,32955,27135,8404.0,4007.0,765,4903.0,51.0,49976.0,22584.0
97,2811.0,33072,27136,8586.0,4087.0,785,5068.0,54.0,50591.0,23377.0
98,2939.0,33142,27136,8761.0,4156.0,815,5347.0,57.0,51271.0,24324.0
99,3178.0,33229,27136,8939.0,4156.0,833,5509.0,59.0,52645.0,25060.0
100,3274.0,33340,27136,9135.0,4223.0,854,5575.0,62.0,53830.0,25779.0
101,3334.0,33415,27136,9317.0,4223.0,878,5688.0,65.0,54971.0,26381.0
102,3470.0,33475,27136,9504.0,4274.0,913,5753.0,68.0,55961.0,26648.0
103,3641.0,33530,27136,9677.0,4274.0,948,5920.0,71.0,57070.0,27121.0
104,3777.0,33601,27136,9860.0,4343.0,979,6051.0,75.0,57622.0,27769.0
105,3942.0,33689,27136,10045.0,4406.0,992,6192.0,80.0,58314.0,28510.0
106,4064.0,33774,27136,10226.0,4424.0,1011,6308.0,83.0,59594.0,29189.0
107,4210.0,33846,27136,10412.0,4429.0,1043,6384.0,85.0,60632.0,29843.0
108,4359.0,33899,27136,10589.0,4502.0,1078,6434.0,89.0,61884.0,30366.0
109,4527.0,33964,28315,10772.0,4527.0,1116,6573.0,93.0,63174.0,30639.0
110,4714.0,34043,28322,10952.0,4576.0,1150,6682.0,96.0,64265.0,31119.0
111,4925.0,34114,28323,11133.0,4639.0,1184,6781.0,100.0,64867.0,32014.0
112,5119.0,34167,28324,11314.0,4700.0,1207,6881.0,104.0,65487.0,32796.0
113,5307.0,34223,28325,11500.0,4769.0,1232,6979.0,107.0,66741.0,33526.0
114,5455.0,34301,28327,11682.0,4781.0,1280,7024.0,110.0,67964.0,34191.0
115,5625.0,34345,28330,11870.0,4821.0,1307,7069.0,112.0,69184.0,34730.0
116,5814.0,34371,28338,12054.0,4873.0,1351,7186.0,116.0,70398.0,35006.0
117,6029.0,34405,28341,12229.0,4873.0,1385,7290.0,120.0,71469.0,35491.0
118,6288.0,34448,28343,12417.0,4900.0,1437,8347.0,124.0,72100.0,36327.0
119,6516.0,34514,28346,12615.0,4939.0,1481,8445.0,129.0,72833.0,36906.0
120,6736.0,34561,28355,12799.0,5031.0,1507,8503.0,134.0,74133.0,37574.0
121,6929.0,34610,28364,12998.0,5047.0,1582,8633.0,138.0,75366.0,38310.0
122,7166.0,34634,28368,13187.0,5063.0,1644,8677.0,142.0,76688.0,38888.0
123,7373.0,34657,28385,13384.0,5130.0,1694,8722.0,146.0,77851.0,39184.0
