day,Colombia,Italy,Spain,Peru,Ecuador,Argentina,Chile,Venezuela,Brazil,Mexico
275,1362249.0,679430,1185678,970860.0,192685.0,1440103.0,553898.0,107786.0,6204220.0,1101403.0
276,1371103.0,709335,1240697,972688.0,193673.0,1447732.0,555406.0,108125.0,6238350.0,1107071.0
277,1377100.0,731588,1259366,973912.0,194876.0,1454631.0,557135.0,108480.0,6290272.0,1113543.0
278,1384610.0,759829,1284408,973912.0,195884.0,1459832.0,558668.0,108717.0,6314740.0,1122362.0
279,1392133.0,790377,1306316,976621.0,196482.0,1463110.0,560382.0,109081.0,6335878.0,1133613.0
280,1399911.0,824879,1328832,979111.0,197391.0,1466309.0,562142.0,109395.0,6386787.0,1144643.0
281,1408909.0,862681,1328832,979111.0,197998.0,1469919.0,563534.0,109781.0,6436650.0,1156770.0
282,1417072.0,902490,1328832,980943.0,198244.0,1475222.0,564778.0,110075.0,6487084.0,1168395.0
283,1425774.0,935104,1381218,980943.0,198752.0,1482216.0,566440.0,110513.0,6533968.0,1175850.0
284,1434516.0,960373,1381218,984973.0,199228.0,1489328.0,567974.0,110828.0,6577177.0,1182249.0
285,1444646.0,995463,1417709,986130.0,200379.0,1494602.0,569781.0,111024.0,6603540.0,1193255.0
286,1456599.0,1028424,1437220,986130.0,200765.0,1498160.0,571919.0,111245.0,6623911.0,1205229.0
287,1468795.0,1066401,1458591,989457.0,201524.0,1503222.0,573830.0,111603.0,6674999.0,1217126.0
288,1482072.0,1107303,1458591,989457.0,202110.0,1510203.0,575329.0,111951.0,6728452.0,1229379.0
289,1496062.0,1144552,1458591,989457.0,202180.0,1517046.0,576731.0,112316.0,6781799.0,1241436.0
290,1507222.0,1178529,1496864,995899.0,202356.0,1524372.0,578732.0,112636.0,6836227.0,1250044.0
291,1518067.0,1205881,1510023,997517.0,203461.0,1531374.0,581135.0,112861.0,6880127.0,1255974.0
292,1530593.0,1238072,1525341,998475.0,204249.0,1537169.0,583355.0,113121.0,6901952.0,1267202.0
293,1544826.0,1272352,1541574,1000153.0,205003.0,1541285.0,585546.0,,6927145.0,1277499.0
294,1559766.0,1308528,1556730,1000153.0,205920.0,1547138.0,587993.0,,6970034.0,1289298.0
295,1574707.0,1345767,1556730,1003982.0,206257.0,1555279.0,589189.0,,7040608.0,1301546.0
296,1584903.0,1380531,1556730,1005546.0,206329.0,1563865.0,590914.0,,7110434.0,1313675.0
297,1594497.0,1408868,1582616,1005546.0,206364.0,1563865.0,594152.0,,7162978.0,1320545.0
298,1603807.0,1431795,1594844,1007657.0,207084.0,1574554.0,595831.0,,7213155.0,1325915.0
299,1614822.0,1455022,1605066,1008908.0,208010.0,1578267.0,598394.0,,7238600.0,1338426.0
300,1626461.0,1480874,1617355,1010496.0,208828.0,1583297.0,600105.0,,7263619.0,1350079.0
301,,1509875,1628208,,209274.0,1590513.0,602028.0,,7318821.0,1362564.0
302,,1538217,1628208,,209355.0,1602163.0,603986.0,,7365517.0,1372243.0
303,,1564532,1628208,,209758.0,1613928.0,606950.0,,7423945.0,1377217.0
304,,1585178,1648187,,210326.0,,,,7448560.0,1383434.0
305,,1601554,1656444,,211512.0,,,,7465806.0,1389430.0
306,,1620901,1665775,,,,,,7484285.0,1401529.0
307,,1641610,1675902,,,,,,7504833.0,1413935.0
308,,1664829,1684647,,,,,,7563551.0,
309,,1688939,1684647,,,,,,7619200.0,
310,,1709991,1684647,,,,,,,
311,,1728878,1702328,,,,,,,
312,,1742557,1702328,,,,,,,
313,,1757394,1712101,,,,,,,
