day,Colombia,Italy,Spain,Peru,Ecuador,Argentina,Chile,Venezuela,Brazil,Mexico
35,2223.0,3858,400,5256.0,3465.0,1554.0,5009.0,204.0,5717.0,1510.0
36,2473.0,4636,500,5897.0,3646.0,1628.0,5310.0,227.0,6836.0,1688.0
37,2709.0,5883,673,6848.0,3747.0,1715.0,5740.0,256.0,8044.0,1890.0
38,2776.0,7375,1073,7519.0,3747.0,1795.0,6166.0,256.0,9056.0,2143.0
39,2852.0,9172,1695,9784.0,4450.0,1975.0,6695.0,285.0,10360.0,2439.0
40,2979.0,10149,2277,10303.0,4965.0,1975.0,7366.0,288.0,11130.0,2785.0
41,3105.0,12462,2277,11475.0,7161.0,2142.0,7652.0,311.0,12161.0,3181.0
42,3233.0,15113,5232,12491.0,7257.0,2208.0,7964.0,318.0,14034.0,3441.0
43,3439.0,17660,6391,13489.0,7466.0,2277.0,8356.0,323.0,16170.0,3844.0
44,3621.0,21157,7798,14420.0,7529.0,2443.0,8712.0,325.0,18092.0,4219.0
45,3792.0,24747,9942,15628.0,7603.0,2571.0,9246.0,329.0,19638.0,4661.0
46,3977.0,27980,11748,16325.0,7858.0,2669.0,9691.0,329.0,20727.0,5014.0
47,4149.0,31506,13910,17837.0,8225.0,2758.0,10598.0,331.0,22192.0,5399.0
48,4356.0,35713,17963,19250.0,8450.0,2839.0,10956.0,333.0,23430.0,5847.0
49,4561.0,41035,20410,20914.0,9022.0,2941.0,11375.0,335.0,25262.0,6297.0
50,4881.0,47021,25374,21648.0,9468.0,3031.0,11700.0,345.0,28320.0,6875.0
51,5142.0,53578,28768,25331.0,10128.0,3144.0,12164.0,357.0,30425.0,7497.0
52,5379.0,59138,35136,27517.0,10398.0,3435.0,12680.0,357.0,33682.0,8261.0
53,5597.0,63927,39885,28699.0,10850.0,3607.0,13174.0,361.0,36658.0,8772.0
54,5949.0,69176,49515,31190.0,11183.0,3780.0,14537.0,379.0,38654.0,9501.0
55,6207.0,74386,57786,33931.0,22719.0,3892.0,15010.0,381.0,40743.0,10544.0
56,6507.0,80589,65719,36976.0,22719.0,4003.0,15492.0,388.0,43079.0,11633.0
57,7006.0,86498,73235,40459.0,22719.0,4127.0,16044.0,402.0,45757.0,12872.0
58,7285.0,92472,80110,42534.0,23240.0,4285.0,16564.0,414.0,50036.0,13842.0
59,7668.0,97689,87956,45928.0,24258.0,4428.0,17702.0,422.0,54043.0,14677.0
60,7973.0,101739,95923,47372.0,24675.0,4532.0,18687.0,423.0,59324.0,15529.0
61,8613.0,105792,104118,51189.0,24934.0,4681.0,21213.0,423.0,63100.0,16752.0
62,8959.0,110574,112065,54817.0,26336.0,4783.0,22441.0,455.0,67446.0,17799.0
63,9456.0,115242,119199,58526.0,27464.0,4887.0,23421.0,459.0,73235.0,19224.0
64,10051.0,119827,126168,61847.0,29538.0,5020.0,24794.0,504.0,79685.0,20739.0
