,date,cases
0,3/6/20,1
1,3/7/20,1
2,3/8/20,1
3,3/9/20,1
4,3/10/20,3
5,3/11/20,9
6,3/12/20,9
7,3/13/20,13
8,3/14/20,22
9,3/15/20,34
10,3/16/20,57
11,3/17/20,75
12,3/18/20,102
13,3/19/20,108
14,3/20/20,158
15,3/21/20,196
16,3/22/20,231
17,3/23/20,277
18,3/24/20,378
19,3/25/20,470
20,3/26/20,491
21,3/27/20,539
22,3/28/20,608
23,3/29/20,702
24,3/30/20,798
25,3/31/20,906
26,4/1/20,1065
27,4/2/20,1161
28,4/3/20,1267
29,4/4/20,1406
30,4/5/20,1485
31,4/6/20,1579
32,4/7/20,1780
33,4/8/20,2054
34,4/9/20,2223
35,4/10/20,2473
36,4/11/20,2709
37,4/12/20,2776
38,4/13/20,2852
39,4/14/20,2979
40,4/15/20,3105
41,4/16/20,3233
42,4/17/20,3439
43,4/18/20,3621
44,4/19/20,3792
45,4/20/20,3977
46,4/21/20,4149
47,4/22/20,4356
48,4/23/20,4561
49,4/24/20,4881
50,4/25/20,5142
51,4/26/20,5379
52,4/27/20,5597
53,4/28/20,5949
54,4/29/20,6207
55,4/30/20,6507
56,5/1/20,7006
57,5/2/20,7285
58,5/3/20,7668
59,5/4/20,7973
60,5/5/20,8613
61,5/6/20,8959
62,5/7/20,9456
63,5/8/20,10051
64,5/9/20,10495
65,5/10/20,11063
66,5/11/20,11613
67,5/12/20,12272
68,5/13/20,12930
69,5/14/20,13610
70,5/15/20,14216
71,5/16/20,14939
72,5/17/20,15574
73,5/18/20,16295
74,5/19/20,16935
75,5/20/20,17687
76,5/21/20,18330
77,5/22/20,19131
78,5/23/20,20177
79,5/24/20,21175
80,5/25/20,21981
81,5/26/20,23003
82,5/27/20,24104
83,5/28/20,25366
84,5/29/20,26688
85,5/30/20,28236
86,5/31/20,29383
87,6/1/20,30493
88,6/2/20,31833
89,6/3/20,33354
90,6/4/20,35120
91,6/5/20,36635
92,6/6/20,38027
93,6/7/20,39236
94,6/8/20,40719
95,6/9/20,42078
96,6/10/20,43682
97,6/11/20,45212
98,6/12/20,46858
99,6/13/20,48746
100,6/14/20,50939
101,6/15/20,53063
102,6/16/20,54931
103,6/17/20,57046
104,6/18/20,60217
105,6/19/20,63276
106,6/20/20,65633
107,6/21/20,68652
108,6/22/20,71183
109,6/23/20,73572
110,6/24/20,77113
111,6/25/20,80599
112,6/26/20,84442
113,6/27/20,88591
114,6/28/20,91769
115,6/29/20,95043
116,6/30/20,97846
117,7/1/20,102009
118,7/2/20,106110
119,7/3/20,109505
120,7/4/20,113389
121,7/5/20,117110
122,7/6/20,120281
123,7/7/20,124494
